1.02	0.004	327.62	5.50	0.007	1.02	0.008	118.65	5.77	0.12
1.025	0.004	250.22	5.50	0.012	1.025	0.008	121.20	5.77	0.115
1.03	0.004	210.23	5.50	0.017	1.03	0.008	123.92	5.77	0.11
1.035	0.004	184.80	5.50	0.022	1.035	0.008	126.84	5.77	0.105
1.04	0.004	166.81	5.50	0.027	1.04	0.008	129.97	5.77	0.1
1.045	0.004	153.23	5.50	0.032	1.045	0.008	133.35	5.77	0.095
1.05	0.004	142.50	5.50	0.037	1.05	0.008	137.00	5.77	0.09
1.055	0.004	133.75	5.50	0.042	1.055	0.008	140.97	5.77	0.085
1.06	0.004	126.43	5.50	0.047	1.06	0.008	145.31	5.77	0.08
1.065	0.004	120.20	5.50	0.052	1.065	0.008	150.08	5.77	0.075
1.07	0.004	114.81	5.50	0.057	1.07	0.008	155.34	5.77	0.07
1.075	0.004	110.08	5.50	0.062	1.075	0.008	161.21	5.77	0.065
1.08	0.004	105.90	5.50	0.067	1.08	0.008	167.79	5.77	0.06
1.085	0.004	102.15	5.50	0.072	1.085	0.008	175.25	5.77	0.055
1.09	0.004	98.78	5.50	0.077	1.09	0.008	183.80	5.77	0.05
1.095	0.004	95.72	5.50	0.082	1.095	0.008	193.75	5.77	0.045
1.1	0.004	92.93	5.50	0.087	1.1	0.008	205.50	5.77	0.04
1.105	0.004	90.37	5.50	0.092	1.105	0.008	219.69	5.77	0.035
1.11	0.004	88.01	5.50	0.097	1.11	0.008	237.29	5.77	0.03
1.115	0.004	85.83	5.50	0.102	1.115	0.008	259.94	5.77	0.025
1.12	0.004	83.80	5.50	0.107	1.12	0.008	290.62	5.77	0.02
 
