# /messung/kmc/daten/2016/1Q/fcm_201601_149.hdf
# Sample-X	Sample-Y	$K1norm/$K4norm	Ring_1	Time
91.30000000000001	-9.899999999999999	3.395200886460463	238.08636871465765	25458.04296875
91.4	-9.899999999999999	3.390886980786782	238.0286366507869	25463.080078125
91.5	-9.899999999999999	3.392976129348126	237.9695043622205	25468.1328125
91.6	-9.899999999999999	2.9927183595384705	237.9098637434865	25473.169921875
91.7	-9.899999999999999	0.7961281648257267	237.8518013608989	25478.205078125
91.80000000000001	-9.899999999999999	0.08910929190319687	237.80821186082557	25481.900390625
91.9	-9.899999999999999	0.10515283153367366	237.7704394407867	25485.19921875
92.0	-9.899999999999999	0.09562250340852009	237.71119065899322	25488.36328125
92.1	-9.899999999999999	0.08533711855772429	237.6971272315398	25491.525390625
92.2	-9.899999999999999	0.07769439707206777	237.66077340552306	25494.689453125
92.30000000000001	-9.899999999999999	0.07234162178715747	237.62320219885783	25497.853515625
92.4	-9.899999999999999	0.06927644095581109	237.5860759286963	25501.01171875
92.5	-9.899999999999999	0.06762011675973777	237.5489651685735	25504.18359375
92.6	-9.899999999999999	0.06729676105317828	237.50821804945994	25507.71484375
92.7	-9.899999999999999	0.06738636635917095	237.4709651419185	25510.87890625
92.80000000000001	-9.899999999999999	0.06772174655071574	237.43365055280927	25514.056640625
92.9	-9.899999999999999	0.06836698479689225	237.3988247655054	25517.236328125
93.0	-9.899999999999999	0.06908438766971878	237.3610838008889	25520.416015625
93.1	-9.899999999999999	0.06962529762547028	237.32380622454292	25523.578125
93.2	-9.899999999999999	0.0702918795104513	237.2867788794888	25526.759765625
93.30000000000001	-9.899999999999999	0.07062811986017271	237.249642660623	25529.921875
93.4	-9.899999999999999	0.07090515896446281	237.2126097872935	25533.08203125
93.5	-9.899999999999999	0.070712197459861	237.17651463389578	25536.26171875
93.6	-9.899999999999999	0.07077029710568981	237.13897767035456	25539.42578125
93.7	-9.899999999999999	0.07063261460565871	237.10196396087002	25542.587890625
93.80000000000001	-9.899999999999999	0.070391547843189	237.06657230995458	25545.748046875
93.9	-9.899999999999999	0.07002242071818236	237.03013549841668	25548.912109375
94.0	-9.899999999999999	0.06962796249424759	236.99552873480985	25552.07421875
94.1	-9.899999999999999	0.06937180110507823	236.95789835476535	25555.236328125
94.2	-9.899999999999999	0.06883907558900915	236.92169825405082	25558.3984375
94.30000000000001	-9.899999999999999	0.06857891909006303	236.88619927400177	25561.560546875
94.4	-9.899999999999999	0.06832793762254345	236.8476041316356	25564.724609375
94.5	-9.899999999999999	0.06823186178578716	236.8111297414225	25567.90234375
94.6	-9.899999999999999	0.06818663405703962	236.76980478328494	25571.4609375
94.7	-9.899999999999999	0.0683518263506872	236.73276264810747	25574.623046875
94.80000000000001	-9.899999999999999	0.06894256869660971	236.69594327265258	25577.78515625
94.9	-9.899999999999999	0.06981148406113485	236.6577929144564	25580.966796875
95.0	-9.899999999999999	0.07099722559181368	236.62302741466274	25584.14453125
95.1	-9.899999999999999	0.07293205592932103	236.58717632657653	25587.30859375
95.2	-9.899999999999999	0.07612939221443842	236.5495218645372	25590.48828125
95.30000000000001	-9.899999999999999	0.08130267056605224	236.51308512230585	25593.650390625
95.4	-9.899999999999999	0.08921848575751816	236.4771587234557	25596.8125
95.5	-9.899999999999999	0.099441968582759	236.44011085888036	25599.9921875
95.6	-9.899999999999999	0.1099025032430728	236.4035006038218	25603.154296875
95.7	-9.899999999999999	0.09565966581713078	236.36695814098073	25606.333984375
95.80000000000001	-9.899999999999999	0.5800744475424126	236.33021599168828	25609.49609375
95.9	-9.899999999999999	2.780516245296019	236.2932060985156	25612.796875
96.0	-9.899999999999999	3.3944414584001175	236.22807826497242	25618.416015625
96.1	-9.899999999999999	3.3881514772719066	236.1699768644776	25623.451171875
96.2	-9.899999999999999	3.390935076328334	236.1114420869321	25628.486328125
96.30000000000001	-9.899999999999999	3.397205858574646	236.05401354092396	25633.5234375
99.30000000000001	-9.899999999999999	3.394628896824631	235.96275635454253	25641.412109375
99.4	-9.899999999999999	3.3958820234485163	235.90428344812523	25646.447265625
99.5	-9.899999999999999	3.392453385648547	235.8443816476727	25651.845703125
99.6	-9.899999999999999	2.3958748348992254	235.7860412961814	25656.8984375
99.7	-9.899999999999999	0.2885764618035334	235.72845544516738	25661.93359375
99.80000000000001	-9.899999999999999	0.08883093929055205	235.68735273464847	25665.611328125
99.9	-9.899999999999999	0.09928263919238357	235.6488419636435	25668.89453125
100.0	-9.899999999999999	0.09128828489467126	235.61317995142983	25672.05859375
100.1	-9.899999999999999	0.08324024100926253	235.57864145502074	25675.21875
100.2	-9.899999999999999	0.07718747807744317	235.54161329844604	25678.380859375
100.30000000000001	-9.899999999999999	0.07279788177256596	235.50454077882284	25681.544921875
100.4	-9.899999999999999	0.06980917275968336	235.46732609421298	25684.705078125
100.5	-9.899999999999999	0.06804886362812196	235.4300946105474	25687.869140625
100.6	-9.899999999999999	0.06733719345390571	235.39303160119937	25691.03125
100.7	-9.899999999999999	0.06724330897885618	235.35773382477788	25694.193359375
100.80000000000001	-9.899999999999999	0.06723447596790076	235.32250381571401	25697.35546875
100.9	-9.899999999999999	0.0675308624059132	235.285582225122	25700.517578125
101.0	-9.899999999999999	0.06815059707344463	235.24948990281345	25703.697265625
101.1	-9.899999999999999	0.06858478451705266	235.2139309685631	25706.859375
101.2	-9.899999999999999	0.06895989495258815	235.17823835448112	25710.021484375
101.30000000000001	-9.899999999999999	0.06930461618960872	235.14124475593002	25713.201171875
