134.2	9.4	#afm1
140.3	2.4	#afm2
145.6	2.1	#afm3
145.0	2.1	#tsem
138.8	5.8	#dcs combined
#146.95	4.71 	#core shell
146.79	1.29	#shape factor	
142.4	10.3952	#I1
143.6	8.9032	#I2
144.5	7.953	#I3
144.3	12.5541	#I4

