2.087899999999999920e+02 2.260255386175644254e+00 2.240183322085644579e-01
2.306200000000000045e+02 2.261440479314843710e+00 3.025045309702291685e-01
2.505200000000000102e+02 2.275573709673364142e+00 2.912583582153996931e-01
2.508600000000000136e+02 2.284507062310717540e+00 3.517008526255777645e-01
3.063100000000000023e+02 2.286193867724214623e+00 3.076165882063107704e-01
3.077200000000000273e+02 2.288162372413288903e+00 3.607524930255712747e-01
3.334800000000000182e+02 2.276111962252614251e+00 2.860123897708811702e-01
3.731700000000000159e+02 2.279908422198977380e+00 3.329458943132398985e-01
3.829300000000000068e+02 2.273649149798765201e+00 3.534419703489859454e-01
4.132099999999999795e+02 2.286792064929682233e+00 3.728556441927424747e-01
4.477300000000000182e+02 2.282890785153476543e+00 3.028047647853828739e-01
5.030500000000000114e+02 2.284041317697524054e+00 3.640538700879666356e-01
5.635599999999999454e+02 2.278507989303141912e+00 3.633235081424334156e-01
6.045199999999999818e+02 2.278104525477380626e+00 3.256236828669208383e-01
6.490199999999999818e+02 2.274541569871563862e+00 3.403956097332432873e-01
7.386000000000000227e+02 2.266703919101042519e+00 3.687320942763481213e-01
8.410099999999999909e+02 2.264600947460793101e+00 4.421039284664335378e-01
9.189099999999999682e+02 2.277481862981458161e+00 4.772600231027204765e-01
9.280299999999999727e+02 2.286645273584284155e+00 3.712554166076988960e-01
9.405900000000000318e+02 2.254107430813729440e+00 4.356376533063525680e-01
9.420299999999999727e+02 2.281479861658604058e+00 3.262917817191623993e-01
9.933999999999999773e+02 2.286346876138426243e+00 2.786528437696189076e-01
1.072589999999999918e+03 2.283102930738623915e+00 3.505774931571252750e-01
1.110519999999999982e+03 2.286350483131455835e+00 3.212492854818034260e-01
1.157140000000000100e+03 2.272965287118386524e+00 3.197168915350841467e-01
1.188920000000000073e+03 2.287963396509707703e+00 3.552137770974545528e-01
1.227589999999999918e+03 2.272263582504985724e+00 2.795913459300246040e-01
1.248650000000000091e+03 2.276766326537877916e+00 3.561871639691719937e-01
1.284369999999999891e+03 2.274099606733245515e+00 2.922555967579627545e-01
1.390640000000000100e+03 2.297149028801475534e+00 3.270599891747572041e-01
1.420089999999999918e+03 2.255943411863047032e+00 2.426922587876532145e-01
1.461769999999999982e+03 2.279757879736449500e+00 3.314840093819373390e-01
1.469119999999999891e+03 2.273481352741697492e+00 3.123192658067757144e-01
1.483180000000000064e+03 2.324506488830073714e+00 4.103794054019493931e-01
1.498319999999999936e+03 2.257552553161322972e+00 3.244945645653807831e-01
1.499869999999999891e+03 2.344399373922068097e+00 2.042722751850579721e-01
