#Diameter(nm)	Absorption	normalised		volume	Normalised			Nb	normalised
1442.049	0.000036	0.0003895303		0.051913764	0.0038201699			1.73118095353955E-011	0.000004037
1435.395	0.000036	0.0003895303		0.05167422	0.0038025426			1.74726848036017E-011	4.07450772103657E-006
1428.823	0.000036	0.0003895303		0.051437628	0.0037851325			1.7633788832728E-011	4.11207605228866E-006
1422.341	0.000035	0.00037871		0.049781935	0.0036632953			1.7300576939214E-011	4.03437337247016E-006
1415.95	0.000035	0.00037871		0.04955825	0.003646835			1.74571043812929E-011	4.07087447567629E-006
1409.647	0.000035	0.00037871		0.049337645	0.0036306014			1.76135664232296E-011	4.10736032802731E-006
1403.416	0.000035	0.00037871		0.04911956	0.0036145532			1.77703179083852E-011	4.14391367650979E-006
1397.276	0.000033	0.0003570694		0.046110108	0.0033930972			1.69024453633448E-011	3.94153187741079E-006
1391.215	0.000032	0.0003462491		0.04451888	0.0032760037			1.65333734369664E-011	3.85546688908473E-006
1385.227	0.000032	0.0003462491		0.044327264	0.0032619033			1.66766219018023E-011	3.88887142780109E-006
1379.33	0.000033	0.0003570694		0.04551789	0.0033495177			1.7345130660254E-011	4.0447629881714E-006
1373.491	0.000033	0.0003570694		0.045325203	0.0033353385			1.74929197545554E-011	4.07922636987744E-006
1367.736	0.000032	0.0003462491		0.043767552	0.0032207159			1.71058800428802E-011	0.000003989
1362.05	0.000031	0.0003354289		0.04222355	0.0031070976			1.67099670200367E-011	3.89664727583086E-006
1356.434	0.000032	0.0003462491		0.043405888	0.0031941022			1.73921248368548E-011	4.05572170101695E-006
1350.877	0.000031	0.0003354289		0.041877187	0.0030816099			1.69875238281099E-011	3.96137157952157E-006
1345.404	0.000032	0.0003462491		0.043052928	0.0031681289			1.76784648449506E-011	4.12249418543719E-006
1339.986	0.000032	0.0003462491		0.042879552	0.0031553708			1.78217134479815E-011	4.15589875637963E-006
1334.636	0.000033	0.0003570694		0.044042988	0.0032409843			1.85262819611745E-011	4.32019919900036E-006
1329.352	0.000033	0.0003570694		0.043868616	0.0032281528			1.8673853754884E-011	4.35461190773032E-006
1324.129	0.000033	0.0003570694		0.043696257	0.0032154695			1.88214615751098E-011	0.000004389
1318.969	0.000034	0.0003678897		0.044844946	0.0032999979			1.95438328809438E-011	4.55748494676898E-006
1313.867	0.000034	0.0003678897		0.044671478	0.0032872329			1.96959125619087E-011	4.59294886323455E-006
1308.815	0.000034	0.0003678897		0.04449971	0.0032745931			1.98482576855759E-011	4.62847467907919E-006
1303.834	0.000034	0.0003678897		0.044330356	0.0032621308			2.00001988307296E-011	4.66390628996388E-006
1298.904	0.000033	0.0003570694		0.042863832	0.003154214			1.95595938007086E-011	4.56116028287181E-006
1294.027	0.000033	0.0003570694		0.042702891	0.0031423708			1.97073061722916E-011	4.59560577337729E-006
1289.208	0.000033	0.0003570694		0.042543864	0.0031306685			1.9854911530409E-011	0.00000463
1284.448	0.000033	0.0003570694		0.042386784	0.0031191095			2.00023437327553E-011	4.66440646609381E-006
1279.729	0.000033	0.0003570694		0.042231057	0.0031076501			2.0150132981208E-011	4.69886988374685E-006
1275.069	0.000033	0.0003570694		0.042077277	0.0030963339			2.02976876741047E-011	4.73327860468704E-006
1270.452	0.000033	0.0003570694		0.041924916	0.0030851221			2.04454850086657E-011	4.76774390796391E-006
1265.896	0.000032	0.0003462491		0.040508672	0.0029809052			1.99688899320074E-011	4.65660527406308E-006
1261.379	0.000032	0.0003462491		0.040364128	0.0029702686			2.01121632512061E-011	0.00000469
1256.914	0.000031	0.0003354289		0.038964334	0.0028672622			1.96223296119454E-011	4.57578983466325E-006
1252.497	0.00003	0.0003246086		0.03757491	0.0027650189			1.91235213967059E-011	4.45947125242164E-006
1248.132	0.00003	0.0003246086		0.03744396	0.0027553827			1.92575138509138E-011	4.49071735428676E-006
1243.798	0.00003	0.0003246086		0.03731394	0.002745815			1.93919528455713E-011	4.52206758625727E-006
1239.523	0.000031	0.0003354289		0.038425213	0.00282759			2.01768104636424E-011	4.70509088580685E-006
1235.276	0.000031	0.0003354289		0.038293556	0.0028179018			2.0315788669195E-011	4.73749962996637E-006
1231.084	0.000031	0.0003354289		0.038163604	0.002808339			2.04543799967503E-011	4.76981815688654E-006
1226.936	0.00003	0.0003246086		0.03680808	0.0027085903			1.99286296240236E-011	4.64721685221633E-006
1222.825	0.00003	0.0003246086		0.03668475	0.0026995148			2.00628504820887E-011	4.67851621626128E-006
1218.751	0.000031	0.0003354289		0.037781281	0.0027802051			2.08704456984524E-011	4.86684176448315E-006
1214.73	0.000032	0.0003462491		0.03887136	0.0028604206			2.16865497904236E-011	5.05715152290221E-006
1210.737	0.000033	0.0003570694		0.039954321	0.0029401122			2.25120119516268E-011	5.24964351752417E-006
1206.784	0.000034	0.0003678897		0.041030656	0.0030193163			2.3346395049482E-011	5.44421581209294E-006
1202.875	0.000034	0.0003678897		0.04089775	0.0030095362			2.34983798266668E-011	5.47965759766168E-006
1199.001	0.000034	0.0003678897		0.040766034	0.0029998436			2.36504727571438E-011	5.51512460382067E-006
1195.158	0.000035	0.00037871		0.04183053	0.0030781765			2.45028949809051E-011	5.71390349620833E-006
1191.36	0.000035	0.00037871		0.0416976	0.0030683946			2.46593721729932E-011	5.75039288146855E-006
1187.6	0.000035	0.00037871		0.041566	0.0030587106			2.48157649251086E-011	5.78686257591853E-006
1183.869	0.000034	0.0003678897		0.040251546	0.0029619841			2.42589288040134E-011	0.000005657
1180.176	0.000034	0.0003678897		0.040125984	0.0029527444			2.44109881469467E-011	5.69247146622616E-006
1176.517	0.000033	0.0003570694		0.038825061	0.0028570136			2.38406189380626E-011	5.55946536146539E-006
1172.888	0.000033	0.0003570694		0.038705304	0.002848201			2.39883763573225E-011	5.59392135677363E-006
1169.298	0.000033	0.0003570694		0.038586834	0.0028394832			2.41359015768379E-011	5.6283232047277E-006
1165.74	0.000033	0.0003570694		0.03846942	0.0028308431			2.42834586475919E-011	5.66273248016754E-006
1162.211	0.000033	0.0003570694		0.038352963	0.0028222734			2.44311537426027E-011	5.69717394189737E-006
1158.714	0.000033	0.0003570694		0.038237562	0.0028137814			2.45788427620136E-011	5.73161398683987E-006
1155.256	0.000034	0.0003678897		0.039278704	0.0028903957			2.5475484453404E-011	5.9407045493744E-006
1151.818	0.000036	0.0003895303		0.041465448	0.0030513113			2.71353094378481E-011	6.32776411066705E-006
1148.42	0.000038	0.0004111709		0.04363996	0.0032113268			2.88125769200836E-011	6.71889114028092E-006
1145.041	0.000038	0.0004111709		0.043511558	0.0032018781			2.89828788534042E-011	6.75860435837086E-006
1141.695	0.000037	0.0004003506		0.042242715	0.0031085079			2.8385825320315E-011	6.61937565609708E-006
1138.387	0.000037	0.0004003506		0.042120319	0.0030995012			2.85510358173001E-011	6.65790158689299E-006
1135.102	0.000038	0.0004111709		0.043133876	0.0031740857			2.94926514891674E-011	6.87747976668602E-006
1131.847	0.00004	0.0004328114		0.04527388	0.0033315618			3.1223712770635E-011	7.28115113351988E-006
1128.62	0.000043	0.0004652723		0.04853066	0.0035712179			3.37577094965902E-011	7.87206142241021E-006
1125.414	0.000045	0.0004869129		0.05064363	0.0037267047			3.55294011048088E-011	8.28520749687579E-006
1122.236	0.000046	0.0004977332		0.051622856	0.0037987629			3.65249339455332E-011	8.51735878282132E-006
1119.092	0.000047	0.0005085534		0.052597324	0.0038704709			3.75289380711602E-011	8.75148551307495E-006
1115.964	0.000047	0.0005085534		0.052450308	0.0038596524			3.77396169794782E-011	8.80061435894209E-006
1112.869	0.000047	0.0005085534		0.052304843	0.0038489481			3.79498241763976E-011	8.84963320501484E-006
1109.806	0.000046	0.0004977332		0.051051076	0.0037566874			3.73476856550933E-011	8.70921871910355E-006
1106.761	0.000045	0.0004869129		0.049804245	0.003664937			3.6737095700255E-011	8.56683341808425E-006
1103.736	0.000044	0.0004760926		0.048564384	0.0035736996			3.61178808194776E-011	8.42243684474322E-006
1100.741	0.000044	0.0004760926		0.048432604	0.0035640023			3.63146940875949E-011	8.46833232042771E-006
1097.767	0.000043	0.0004652723		0.047203981	0.0034735918			3.56819116021599E-011	8.32077187670527E-006
1094.822	0.000043	0.0004652723		0.047077346	0.0034642732			3.58741338322507E-011	8.36559675447669E-006
1091.899	0.000042	0.000454452		0.045859758	0.0033746747			3.522770524626E-011	8.21485413567921E-006
1088.993	0.000041	0.0004436317		0.044648713	0.0032855577			3.4572730472059E-011	8.06211860564686E-006
1086.124	0.00004	0.0004328114		0.04344496	0.0031969773			3.39079216191321E-011	7.90708983733155E-006
