
# Curve 0 of 1, 39 points
# Curve title: ""TSEMdata.dat" u ($0+121):6"
# x y type
 121  2.75391  i
 122  1.07813  i
 123  3.71484  i
 124  2.15625  i
 125  6.94922  i
 126  3.71484  i
 127  2.75391  i
 128  8.02734  i
 129  5.87109  i
 130  4.79297  i
 131  5.87109  i
 132  5.87109  i
 133  4.79297  i
 134  9.10547  i
 135  12.2188  i
 136  14.9766  i
 137  19.1719  i
 138  25.043  i
 139  18.0898  i
 140  30.4336  i
 141  25.043  i
 142  52.7188  i
 143  51.6406  i
 144  67.5781  i
 145  86.75  i
 146  109.156  i
 147  86.75  i
 148  107  i
 149  120.301  i
 150  160.801  i
 151  138.391  i
 152  149.656  i
 153  118.141  i
 154  99.0898  i
 155  61.8281  i
 156  26.1211  i
 157  12.2188  i
 158  4.79297  i
 159  2.15625  i

